# Wlen(nm) Flux Flux_err
1.921314571305012123e+03 nan 5.219463736391608856e-03
1.921321103637825900e+03 nan 5.219463736391608856e-03
1.921327814857231715e+03 nan 5.219463736391608856e-03
1.921334313976333988e+03 nan 5.219463736391608856e-03
1.921341022404476462e+03 nan 5.219463736391608856e-03
1.921347556951364822e+03 nan 5.219463736391608856e-03
1.921354196274734250e+03 nan 5.219463736391608856e-03
1.921360799494233788e+03 nan 5.219463736391608856e-03
1.921367369537335435e+03 nan 5.219463736391608856e-03
1.921374041604853574e+03 nan 5.219463736391608856e-03
1.921380542192162920e+03 2.395975575577167782e-01 5.219463736391608856e-03
1.921387283283134821e+03 2.479838509473932251e-01 5.219463736391608856e-03
1.921393781609168173e+03 2.560002111193770968e-01 5.219463736391608856e-03
1.921400457157182473e+03 2.588812802379507616e-01 5.219463736391608856e-03
1.921407022674665541e+03 2.647437232303254673e-01 5.219463736391608856e-03
1.921413628342154652e+03 2.757058856119233847e-01 5.219463736391608856e-03
1.921420263307608593e+03 2.848718467300800361e-01 5.219463736391608856e-03
1.921426798918944769e+03 2.879142856896022007e-01 5.219463736391608856e-03
1.921433503507908654e+03 2.906436545174095887e-01 5.219463736391608856e-03
1.921440001220579688e+03 2.959796002838051554e-01 5.219463736391608856e-03
1.921446710941499987e+03 2.995730330962925181e-01 5.219463736391608856e-03
1.921453240807653856e+03 3.052801939034395229e-01 5.219463736391608856e-03
1.921459880047436400e+03 3.067249721914955263e-01 5.219463736391608856e-03
1.921466479961868117e+03 3.049643460316248111e-01 5.219463736391608856e-03
1.921473048544785115e+03 3.046851243839926449e-01 5.219463736391608856e-03
1.921479718683134706e+03 3.071810068714699860e-01 5.219463736391608856e-03
1.921486216433426080e+03 3.056703966720887289e-01 5.219463736391608856e-03
1.921492956971364038e+03 3.032637334264296491e-01 5.219463736391608856e-03
1.921499453889568940e+03 3.022965928910766875e-01 5.219463736391608856e-03
1.921506124648332388e+03 2.993564998223727791e-01 5.219463736391608856e-03
1.921512691564001443e+03 2.977412739029953181e-01 5.219463736391608856e-03
1.921519291064831577e+03 2.906047435773017051e-01 5.219463736391608856e-03
1.921525928805180911e+03 2.798099250539511917e-01 5.219463736391608856e-03
1.921532456872216471e+03 2.647438479893766683e-01 5.219463736391608856e-03
1.921539165613018668e+03 2.422484454108632668e-01 5.219463736391608856e-03
1.921545661916777135e+03 2.141785828046527951e-01 5.219463736391608856e-03
1.921552362139988873e+03 1.843388697509817375e-01 5.219463736391608856e-03
1.921558898110374912e+03 1.508425579520344395e-01 5.219463736391608856e-03
1.921565526474231774e+03 1.255029365346589654e-01 5.219463736391608856e-03
1.921572133870413836e+03 1.096598906038681320e-01 5.219463736391608856e-03
1.921578690198951790e+03 1.091137134658974883e-01 5.219463736391608856e-03
1.921585369196805459e+03 1.216952931054497145e-01 5.219463736391608856e-03
1.921591864885643872e+03 1.419796099419430302e-01 5.219463736391608856e-03
1.921598592517548923e+03 1.658339936819402671e-01 5.219463736391608856e-03
1.921605099597352364e+03 1.803316973517180011e-01 5.219463736391608856e-03
1.921611754768126957e+03 1.859987693940086673e-01 5.219463736391608856e-03
1.921618333875195731e+03 1.792750682028613207e-01 5.219463736391608856e-03
1.921624916408773743e+03 1.580759259113123649e-01 5.219463736391608856e-03
1.921631567719086433e+03 1.273128062409105421e-01 5.219463736391608856e-03
1.921638077439370591e+03 9.269658726180458885e-02 5.219463736391608856e-03
1.921644801128935569e+03 6.358813459948323144e-02 5.219463736391608856e-03
1.921651296021294911e+03 4.357204375219057846e-02 5.219463736391608856e-03
1.921657975941656559e+03 3.577938972827222897e-02 5.219463736391608856e-03
1.921664528815887707e+03 3.701951400833698030e-02 5.219463736391608856e-03
1.921671135496819716e+03 4.141074438426657622e-02 5.219463736391608856e-03
1.921677761176221793e+03 4.018478578584835925e-02 5.219463736391608856e-03
1.921684294441524344e+03 3.426370030226974506e-02 5.219463736391608856e-03
1.921690993102207813e+03 2.757030509948864630e-02 5.219463736391608856e-03
1.921697487378560709e+03 1.594515682805371440e-02 5.219463736391608856e-03
1.921704189989955921e+03 1.084287259642839618e-02 5.219463736391608856e-03
1.921710718688847237e+03 1.018347639798058805e-02 5.219463736391608856e-03
1.921717347458224140e+03 1.854492414631342401e-02 5.219463736391608856e-03
1.921723949564567874e+03 3.268734184641725049e-02 5.219463736391608856e-03
1.921730504315626149e+03 5.619377702762749782e-02 5.219463736391608856e-03
1.921737180005635082e+03 8.714470213408598287e-02 5.219463736391608856e-03
1.921743673665506321e+03 1.253032357952006404e-01 5.219463736391608856e-03
1.921750396908155381e+03 1.693081771542346847e-01 5.219463736391608856e-03
1.921756903490428613e+03 2.117512488583268848e-01 5.219463736391608856e-03
1.921763552288118490e+03 2.503980394895879424e-01 5.219463736391608856e-03
1.921770132880479878e+03 2.874487097881958664e-01 5.219463736391608856e-03
1.921776707056804298e+03 3.140182393283335038e-01 5.219463736391608856e-03
1.921783361835570076e+03 3.401938793402275452e-01 5.219463736391608856e-03
1.921789861214094344e+03 3.643405909774047879e-01 5.219463736391608856e-03
1.921796590355610533e+03 3.758120018096383630e-01 5.219463736391608856e-03
1.921803083216985897e+03 3.905952459655684939e-01 5.219463736391608856e-03
1.921809749981629011e+03 3.978966160266023677e-01 5.219463736391608856e-03
1.921816311120308683e+03 4.040393943196720627e-01 5.219463736391608856e-03
1.921822902660185719e+03 4.072368012931282255e-01 5.219463736391608856e-03
1.921829538588363903e+03 4.066268990978183506e-01 5.219463736391608856e-03
1.921836054726937618e+03 4.065215984482968281e-01 5.219463736391608856e-03
1.921842765621063108e+03 4.117514512811874527e-01 5.219463736391608856e-03
1.921849257864866786e+03 4.119748239266709522e-01 5.219463736391608856e-03
1.921855940533879220e+03 4.167604580323863162e-01 5.219463736391608856e-03
1.921862484280403351e+03 4.228559865236659610e-01 5.219463736391608856e-03
1.921869091120893245e+03 4.296143132849762347e-01 5.219463736391608856e-03
1.921875710260364940e+03 4.376011795541724370e-01 5.219463736391608856e-03
1.921882241095692052e+03 4.422752292164165988e-01 5.219463736391608856e-03
1.921888935804663788e+03 4.524910019256379590e-01 5.219463736391608856e-03
1.921895427430420114e+03 4.503711656487331405e-01 5.219463736391608856e-03
1.921902123939990133e+03 4.600234318730999084e-01 5.219463736391608856e-03
1.921908652357110213e+03 4.668571949629147233e-01 5.219463736391608856e-03
1.921915272434045846e+03 4.695291527346124871e-01 5.219463736391608856e-03
1.921921876847918838e+03 4.749623994030612861e-01 5.219463736391608856e-03
1.921928420315475250e+03 4.775839119283111778e-01 5.219463736391608856e-03
1.921935100902757085e+03 4.811746136657442108e-01 5.219463736391608856e-03
1.921941591909989256e+03 4.833467103250539409e-01 5.219463736391608856e-03
1.921948300195077536e+03 4.854593489639884574e-01 5.219463736391608856e-03
1.921954815346773103e+03 4.904778504866569300e-01 5.219463736391608856e-03
1.921961446594758627e+03 4.882738844057332162e-01 5.219463736391608856e-03
1.921968038347368292e+03 4.886441895705869731e-01 5.219463736391608856e-03
1.921974592381402772e+03 4.876110555669460611e-01 5.219463736391608856e-03
1.921981260911685240e+03 4.879482128042389455e-01 5.219463736391608856e-03
1.921987751299916681e+03 4.902876429249384271e-01 5.219463736391608856e-03
1.921994469294254486e+03 4.873575185858838310e-01 5.219463736391608856e-03
1.922000973245733576e+03 4.856606391120887323e-01 5.219463736391608856e-03
1.922007613598143507e+03 4.845505640761740285e-01 5.219463736391608856e-03
1.922014194755053268e+03 4.854214179734033241e-01 5.219463736391608856e-03
1.922020757288584946e+03 4.847914684035232735e-01 5.219463736391608856e-03
1.922027415827787763e+03 4.817662713915921158e-01 5.219463736391608856e-03
1.922033905596540762e+03 4.818964048260079291e-01 5.219463736391608856e-03
1.922040631232630631e+03 4.859214976322955293e-01 5.219463736391608856e-03
1.922047126050328643e+03 4.841164425076786570e-01 5.219463736391608856e-03
1.922053773439309225e+03 4.800964901710356170e-01 5.219463736391608856e-03
1.922060346067311912e+03 4.806700660035966854e-01 5.219463736391608856e-03
1.922066915032129145e+03 4.769905020245574501e-01 5.219463736391608856e-03
1.922073565647401665e+03 4.780070313193383047e-01 5.219463736391608856e-03
