# Wlen(nm) Transmission
1.921314571305012123e+03 nan
1.921321103637825900e+03 nan
1.921327814857231715e+03 nan
1.921334313976333988e+03 nan
1.921341022404476462e+03 nan
1.921347556951364822e+03 nan
1.921354196274734250e+03 nan
1.921360799494233788e+03 nan
1.921367369537335435e+03 nan
1.921374041604853574e+03 nan
1.921380542192162920e+03 3.142046321744650372e-01
1.921387283283134821e+03 3.228098087920533987e-01
1.921393781609168173e+03 3.311761828062381174e-01
1.921400457157182473e+03 3.392785326242562793e-01
1.921407022674665541e+03 3.470621274753449836e-01
1.921413628342154652e+03 3.544859597694143827e-01
1.921420263307608593e+03 3.615269704327200295e-01
1.921426798918944769e+03 3.681664191912436546e-01
1.921433503507908654e+03 3.743950230624104591e-01
1.921440001220579688e+03 3.801857850029010666e-01
1.921446710941499987e+03 3.855083389979013231e-01
1.921453240807653856e+03 3.903081049564586791e-01
1.921459880047436400e+03 3.945314337214734790e-01
1.921466479961868117e+03 3.980993045535527464e-01
1.921473048544785115e+03 4.009073475093101746e-01
1.921479718683134706e+03 4.028208229957674913e-01
1.921486216433426080e+03 4.036489886739481614e-01
1.921492956971364038e+03 4.031404885850202180e-01
1.921499453889568940e+03 4.009382169091315062e-01
1.921506124648332388e+03 3.965637375215736449e-01
1.921512691564001443e+03 3.893492060093302065e-01
1.921519291064831577e+03 3.784026258866701187e-01
1.921525928805180911e+03 3.626126966850917732e-01
1.921532456872216471e+03 3.407790736985597535e-01
1.921539165613018668e+03 3.120779631299955836e-01
1.921545661916777135e+03 2.769189426069880722e-01
1.921552362139988873e+03 2.377904580360152842e-01
1.921558898110374912e+03 1.995840454475162340e-01
1.921565526474231774e+03 1.686437526096666861e-01
1.921572133870413836e+03 1.505017455406366667e-01
1.921578690198951790e+03 1.478132807806891158e-01
1.921585369196805459e+03 1.594401816494583901e-01
1.921591864885643872e+03 1.804296387864527673e-01
1.921598592517548923e+03 2.031303548269554060e-01
1.921605099597352364e+03 2.194547610847066565e-01
1.921611754768126957e+03 2.231630988452836251e-01
1.921618333875195731e+03 2.112501710453020820e-01
1.921624916408773743e+03 1.846685073464457982e-01
1.921631567719086433e+03 1.484373947776125025e-01
1.921638077439370591e+03 1.100683886695110747e-01
1.921644801128935569e+03 7.678751515175911979e-02
1.921651296021294911e+03 5.370364438347077080e-02
1.921657975941656559e+03 4.221398720739925198e-02
1.921664528815887707e+03 3.930954304213434697e-02
1.921671135496819716e+03 3.956453919772542904e-02
1.921677761176221793e+03 3.845695694712487206e-02
1.921684294441524344e+03 3.381979142801119081e-02
1.921690993102207813e+03 2.598992332785902970e-02
1.921697487378560709e+03 1.749602942644542039e-02
1.921704189989955921e+03 1.169060399313618173e-02
1.921710718688847237e+03 1.158314904362592150e-02
1.921717347458224140e+03 1.958037668016144803e-02
1.921723949564567874e+03 3.748634836730604242e-02
1.921730504315626149e+03 6.620940854814479082e-02
1.921737180005635082e+03 1.053840637824133841e-01
1.921743673665506321e+03 1.531185948937554275e-01
