# Wlen(nm) Flux Flux_err
1.921314571305012123e+03 nan 4.114624147915170449e-03
1.921321103637825900e+03 nan 4.114624147915170449e-03
1.921327814857231715e+03 nan 4.114624147915170449e-03
1.921334313976333988e+03 nan 4.114624147915170449e-03
1.921341022404476462e+03 nan 4.114624147915170449e-03
1.921347556951364822e+03 nan 4.114624147915170449e-03
1.921354196274734250e+03 nan 4.114624147915170449e-03
1.921360799494233788e+03 nan 4.114624147915170449e-03
1.921367369537335435e+03 nan 4.114624147915170449e-03
1.921374041604853574e+03 nan 4.114624147915170449e-03
1.921380542192162920e+03 1.912622945994007784e-01 4.114624147915170449e-03
1.921387283283134821e+03 1.956209024647306005e-01 4.114624147915170449e-03
1.921393781609168173e+03 2.023185589188453148e-01 4.114624147915170449e-03
1.921400457157182473e+03 2.035709069006165772e-01 4.114624147915170449e-03
1.921407022674665541e+03 2.135229898778111535e-01 4.114624147915170449e-03
1.921413628342154652e+03 2.186741960969350307e-01 4.114624147915170449e-03
1.921420263307608593e+03 2.225421945081776098e-01 4.114624147915170449e-03
1.921426798918944769e+03 2.267740116688842511e-01 4.114624147915170449e-03
1.921433503507908654e+03 2.316059025408446215e-01 4.114624147915170449e-03
1.921440001220579688e+03 2.345860265974002434e-01 4.114624147915170449e-03
1.921446710941499987e+03 2.390432751838612313e-01 4.114624147915170449e-03
1.921453240807653856e+03 2.430264850698896917e-01 4.114624147915170449e-03
1.921459880047436400e+03 2.455300398950353569e-01 4.114624147915170449e-03
1.921466479961868117e+03 2.469166644610897854e-01 4.114624147915170449e-03
1.921473048544785115e+03 2.490827008880207583e-01 4.114624147915170449e-03
1.921479718683134706e+03 2.483167117468256524e-01 4.114624147915170449e-03
1.921486216433426080e+03 2.502003964801217117e-01 4.114624147915170449e-03
1.921492956971364038e+03 2.496179247607081264e-01 4.114624147915170449e-03
1.921499453889568940e+03 2.445380139470580139e-01 4.114624147915170449e-03
1.921506124648332388e+03 2.425183651560038345e-01 4.114624147915170449e-03
1.921512691564001443e+03 2.378270304725906559e-01 4.114624147915170449e-03
1.921519291064831577e+03 2.335155011157945548e-01 4.114624147915170449e-03
1.921525928805180911e+03 2.254036636983058894e-01 4.114624147915170449e-03
1.921532456872216471e+03 2.072030590437503594e-01 4.114624147915170449e-03
1.921539165613018668e+03 1.885927888565827049e-01 4.114624147915170449e-03
1.921545661916777135e+03 1.701462807502681640e-01 4.114624147915170449e-03
1.921552362139988873e+03 1.423597106337684548e-01 4.114624147915170449e-03
1.921558898110374912e+03 1.142587206691012269e-01 4.114624147915170449e-03
1.921565526474231774e+03 9.427377846808231154e-02 4.114624147915170449e-03
1.921572133870413836e+03 8.099730890833341246e-02 4.114624147915170449e-03
1.921578690198951790e+03 7.787547949285555937e-02 4.114624147915170449e-03
1.921585369196805459e+03 8.326908971522894998e-02 4.114624147915170449e-03
1.921591864885643872e+03 9.697778407733910477e-02 4.114624147915170449e-03
1.921598592517548923e+03 1.190888529397417517e-01 4.114624147915170449e-03
1.921605099597352364e+03 1.317841339445587900e-01 4.114624147915170449e-03
1.921611754768126957e+03 1.357060615428004879e-01 4.114624147915170449e-03
1.921618333875195731e+03 1.323532691750428647e-01 4.114624147915170449e-03
1.921624916408773743e+03 1.146649109559176871e-01 4.114624147915170449e-03
1.921631567719086433e+03 9.240291573897815858e-02 4.114624147915170449e-03
1.921638077439370591e+03 6.738760503563509530e-02 4.114624147915170449e-03
1.921644801128935569e+03 4.516271018250560265e-02 4.114624147915170449e-03
1.921651296021294911e+03 2.896008451966231370e-02 4.114624147915170449e-03
1.921657975941656559e+03 2.080909803089701915e-02 4.114624147915170449e-03
1.921664528815887707e+03 2.147985426288409605e-02 4.114624147915170449e-03
1.921671135496819716e+03 2.358408140159719280e-02 4.114624147915170449e-03
1.921677761176221793e+03 2.438035235532335504e-02 4.114624147915170449e-03
1.921684294441524344e+03 2.238243381068012045e-02 4.114624147915170449e-03
1.921690993102207813e+03 2.042879499809541546e-02 4.114624147915170449e-03
1.921697487378560709e+03 1.325690721763996514e-02 4.114624147915170449e-03
1.921704189989955921e+03 5.865873808461700978e-03 4.114624147915170449e-03
1.921710718688847237e+03 8.367538493410712347e-03 4.114624147915170449e-03
1.921717347458224140e+03 8.562218134624599575e-03 4.114624147915170449e-03
1.921723949564567874e+03 2.145137115194875946e-02 4.114624147915170449e-03
1.921730504315626149e+03 3.980898348047492985e-02 4.114624147915170449e-03
1.921737180005635082e+03 6.071825871848647582e-02 4.114624147915170449e-03
1.921743673665506321e+03 9.122382104191911756e-02 4.114624147915170449e-03
1.921750396908155381e+03 1.224521422057864295e-01 4.114624147915170449e-03
1.921756903490428613e+03 1.604774129255761017e-01 4.114624147915170449e-03
1.921763552288118490e+03 1.948528193263958097e-01 4.114624147915170449e-03
1.921770132880479878e+03 2.248963047297648510e-01 4.114624147915170449e-03
1.921776707056804298e+03 2.502143632283139740e-01 4.114624147915170449e-03
1.921783361835570076e+03 2.708769635912151585e-01 4.114624147915170449e-03
1.921789861214094344e+03 2.907879824266284552e-01 4.114624147915170449e-03
1.921796590355610533e+03 3.061015566879874972e-01 4.114624147915170449e-03
1.921803083216985897e+03 3.225638310392127117e-01 4.114624147915170449e-03
1.921809749981629011e+03 3.370474136219480110e-01 4.114624147915170449e-03
1.921816311120308683e+03 3.480552948426421933e-01 4.114624147915170449e-03
1.921822902660185719e+03 3.538792214249746881e-01 4.114624147915170449e-03
1.921829538588363903e+03 3.613134369352977160e-01 4.114624147915170449e-03
1.921836054726937618e+03 3.728454954828561707e-01 4.114624147915170449e-03
1.921842765621063108e+03 3.805319798210524129e-01 4.114624147915170449e-03
1.921849257864866786e+03 3.828667302881522683e-01 4.114624147915170449e-03
1.921855940533879220e+03 3.910849533746942885e-01 4.114624147915170449e-03
1.921862484280403351e+03 3.931715639128539053e-01 4.114624147915170449e-03
1.921869091120893245e+03 3.974576091253146926e-01 4.114624147915170449e-03
1.921875710260364940e+03 3.987046622933225759e-01 4.114624147915170449e-03
1.921882241095692052e+03 4.029486696448850713e-01 4.114624147915170449e-03
1.921888935804663788e+03 4.113147952369926585e-01 4.114624147915170449e-03
1.921895427430420114e+03 4.100970545054155592e-01 4.114624147915170449e-03
1.921902123939990133e+03 4.139055999307754696e-01 4.114624147915170449e-03
1.921908652357110213e+03 4.184803118337447891e-01 4.114624147915170449e-03
1.921915272434045846e+03 4.214224112512340303e-01 4.114624147915170449e-03
1.921921876847918838e+03 4.253629678413319848e-01 4.114624147915170449e-03
1.921928420315475250e+03 4.313707420773074119e-01 4.114624147915170449e-03
