# Wlen(nm) Transmission
1.921314571305012123e+03 nan
1.921321103637825900e+03 nan
1.921327814857231715e+03 nan
1.921334313976333988e+03 nan
1.921341022404476462e+03 nan
1.921347556951364822e+03 nan
1.921354196274734250e+03 nan
1.921360799494233788e+03 nan
1.921367369537335435e+03 nan
1.921374041604853574e+03 nan
1.921380542192162920e+03 3.238435788257184589e-01
1.921387283283134821e+03 3.324707675952413011e-01
1.921393781609168173e+03 3.408565603844538328e-01
1.921400457157182473e+03 3.489770216988873353e-01
1.921407022674665541e+03 3.567765772612900288e-01
1.921413628342154652e+03 3.642124473711804700e-01
1.921420263307608593e+03 3.712603883340619970e-01
1.921426798918944769e+03 3.779010913867015264e-01
1.921433503507908654e+03 3.841252259987466000e-01
1.921440001220579688e+03 3.899060119727223994e-01
1.921446710941499987e+03 3.952140593360297660e-01
1.921453240807653856e+03 3.999960043426430967e-01
1.921459880047436400e+03 4.042001086133208965e-01
1.921466479961868117e+03 4.077492659816557286e-01
1.921473048544785115e+03 4.105409845651803447e-01
1.921479718683134706e+03 4.124422211596548427e-01
1.921486216433426080e+03 4.132636392872266473e-01
1.921492956971364038e+03 4.127550938916118572e-01
1.921499453889568940e+03 4.105594929429597362e-01
1.921506124648332388e+03 4.061974371359773905e-01
1.921512691564001443e+03 3.989970652662489514e-01
1.921519291064831577e+03 3.880576018353191214e-01
1.921525928805180911e+03 3.722500124030065360e-01
1.921532456872216471e+03 3.503417230740027977e-01
1.921539165613018668e+03 3.214652344763109793e-01
1.921545661916777135e+03 2.859918600493973062e-01
1.921552362139988873e+03 2.464077779557316550e-01
1.921558898110374912e+03 2.076743715497097742e-01
1.921565526474231774e+03 1.762714598775301789e-01
1.921572133870413836e+03 1.578592471914600504e-01
1.921578690198951790e+03 1.551590424110912136e-01
1.921585369196805459e+03 1.670326541693800682e-01
1.921591864885643872e+03 1.884492797590191504e-01
1.921598592517548923e+03 2.116040694325795335e-01
1.921605099597352364e+03 2.282375037130463524e-01
1.921611754768126957e+03 2.319726797640684623e-01
1.921618333875195731e+03 2.197103527022170599e-01
1.921624916408773743e+03 1.923599755128884148e-01
1.921631567719086433e+03 1.550109619062952915e-01
1.921638077439370591e+03 1.153957651662343986e-01
1.921644801128935569e+03 8.101472282328707475e-02
1.921651296021294911e+03 5.718076887240843703e-02
1.921657975941656559e+03 4.535940794693315431e-02
1.921664528815887707e+03 4.245156155084488236e-02
1.921671135496819716e+03 4.279607986302413902e-02
1.921677761176221793e+03 4.161428546437588583e-02
1.921684294441524344e+03 3.661223715267896556e-02
1.921690993102207813e+03 2.818246700946135455e-02
1.921697487378560709e+03 1.904190370747972649e-02
1.921704189989955921e+03 1.277402864634486802e-02
1.921710718688847237e+03 1.259155942931522616e-02
1.921717347458224140e+03 2.101037209732176808e-02
1.921723949564567874e+03 3.981284546630794313e-02
1.921730504315626149e+03 6.978723283827664714e-02
1.921737180005635082e+03 1.103986345551101200e-01
1.921743673665506321e+03 1.595590985539407924e-01
