# Wlen(nm) Flux Flux_err
1.921314445004276649e+03 0.000000000000000000e+00 2.480199987408752515e-04
1.921320944237575986e+03 0.000000000000000000e+00 2.480199987408752515e-04
1.921327679436723429e+03 0.000000000000000000e+00 2.480199987408752515e-04
1.921334187573909958e+03 0.000000000000000000e+00 2.480199987408752515e-04
1.921340853822876397e+03 0.000000000000000000e+00 2.480199987408752515e-04
1.921347430482246864e+03 0.000000000000000000e+00 2.480199987408752515e-04
1.921354027606926138e+03 0.000000000000000000e+00 2.480199987408752515e-04
1.921360672962498029e+03 0.000000000000000000e+00 2.480199987408752515e-04
1.921367200788753962e+03 0.000000000000000000e+00 2.480199987408752515e-04
1.921373915014575005e+03 0.000000000000000000e+00 2.480199987408752515e-04
1.921380413496613983e+03 1.812969522279848922e-04 2.480199987408752515e-04
1.921387116508966301e+03 2.348652986104383163e-03 2.480199987408752515e-04
1.921393654941845398e+03 1.094855619897066885e-03 2.480199987408752515e-04
1.921400288234408890e+03 -3.353289974380676587e-04 2.480199987408752515e-04
1.921406895958685254e+03 1.505888882858145029e-03 2.480199987408752515e-04
1.921413459357220290e+03 1.059429703591238409e-03 2.480199987408752515e-04
1.921420136547046013e+03 6.707909565055744996e-04 2.480199987408752515e-04
1.921426634421848348e+03 -1.502655883678989668e-03 2.480199987408752515e-04
1.921433372162154910e+03 5.735973782431758386e-04 2.480199987408752515e-04
1.921439874402919486e+03 -1.808202105011793605e-04 2.480199987408752515e-04
1.921446541827580859e+03 1.125263099250557904e-03 2.480199987408752515e-04
1.921453113955293929e+03 1.131053870641900942e-03 2.480199987408752515e-04
1.921459710889967710e+03 7.514703646530665991e-04 2.480199987408752515e-04
1.921466353078882776e+03 5.973020817702833288e-04 2.480199987408752515e-04
1.921472879349198138e+03 -8.533675089183343984e-04 2.480199987408752515e-04
1.921479591773597576e+03 -8.211809263754948907e-05 2.480199987408752515e-04
1.921486088861830240e+03 -1.084997104058378539e-03 2.480199987408752515e-04
1.921492788381580567e+03 1.879719641710755895e-03 2.480199987408752515e-04
1.921499326948683574e+03 -1.382568273543836922e-03 2.480199987408752515e-04
1.921505955382133152e+03 -9.012054071154537369e-04 2.480199987408752515e-04
1.921512564606445494e+03 1.586649587267166843e-03 2.480199987408752515e-04
1.921519121779119814e+03 2.208886578720582056e-03 2.480199987408752515e-04
1.921525801835027096e+03 1.585568739491503712e-03 2.480199987408752515e-04
1.921532298314936270e+03 -5.975388779898001095e-04 2.480199987408752515e-04
1.921539027891543583e+03 1.308073309137888340e-03 2.480199987408752515e-04
1.921545534935212117e+03 1.874972726614722958e-03 2.480199987408752515e-04
1.921552192828850593e+03 2.017098639275649499e-03 2.480199987408752515e-04
1.921558771126090505e+03 -1.509072212349331886e-04 2.480199987408752515e-04
1.921565357162181954e+03 2.076478541283189802e-03 2.480199987408752515e-04
1.921572006887481621e+03 1.236264668785606912e-03 2.480199987408752515e-04
