# Wlen(nm) Transmission Continuum
1.921314443147196471e+03 1.031609102836073806e-05 1.216897140623027340e+00
1.921320942378607242e+03 1.362033159037892219e-05 1.221396466317707930e+00
1.921327676955140078e+03 1.853856149234920915e-05 1.226048138009136590e+00
1.921334185710509246e+03 2.529386581686015589e-05 1.230533608555319791e+00
1.921340851335397701e+03 3.413649703524081864e-05 1.235116779623784744e+00
1.921347428614434421e+03 4.538737070014419654e-05 1.239628894561245254e+00
1.921354025113578928e+03 5.937648886106315047e-05 1.244143917305492453e+00
1.921360671090295000e+03 7.646547390789810680e-05 1.248682406570889025e+00
1.921367198289566886e+03 9.704914561728455937e-05 1.253129633653435215e+00
1.921373913138002763e+03 1.215666225738658816e-04 1.257694226805296189e+00
1.921380411618168182e+03 1.504996470962313725e-04 1.262101621030651710e+00
1.921387114001475311e+03 1.842609853771077642e-04 1.266636891630957606e+00
1.921393653059059488e+03 2.231697360724702592e-04 1.271051462869997373e+00
1.921400285721145110e+03 2.673369982914602558e-04 1.275518963146515583e+00
1.921406894071580609e+03 3.166909026697807788e-04 1.279959817470072814e+00
1.921413456838211914e+03 3.709721694291199970e-04 1.284359902902044492e+00
1.921420134655642642e+03 4.297837529197540379e-04 1.288826767001964413e+00
1.921426632528602568e+03 4.926037450187786436e-04 1.293163243806305207e+00
1.921433369634978590e+03 5.586460865954938956e-04 1.297648951293081776e+00
1.921439872505405447e+03 6.268599117203434374e-04 1.301968641586196185e+00
1.921446539294727245e+03 6.958192081178431361e-04 1.306386972092673293e+00
1.921453112053532323e+03 7.637519667318750120e-04 1.310732838713933646e+00
1.921459708351464997e+03 8.283925854062160763e-04 1.315084150468045499e+00
1.921466351172894747e+03 8.869509174199375007e-04 1.319455917312086335e+00
1.921472876805073611e+03 9.361897719166696131e-04 1.323740568859445244e+00
1.921479589863404044e+03 9.724885596367318979e-04 1.328137959489136488e+00
1.921486086949833862e+03 9.919662184509835893e-04 1.332383918151564650e+00
1.921492785829464765e+03 9.906124126181118598e-04 1.336751504228133491e+00
1.921499325032511024e+03 9.647048034118679968e-04 1.341004957158751232e+00
1.921505952824463066e+03 9.116990706263028476e-04 1.345305935605461078e+00
1.921512562686118144e+03 8.311348099259485483e-04 1.349585164004987625e+00
1.921519119215924320e+03 7.256406129211416273e-04 1.353819896026156044e+00
1.921525799910565183e+03 6.015134662494163800e-04 1.358124620748719869e+00
1.921532296388702207e+03 4.687697829993259235e-04 1.362300777984489564e+00
1.921539025320492783e+03 3.400800876126825541e-04 1.366616116764707289e+00
1.921545533004873960e+03 2.277025100788189547e-04 1.370779657636895577e+00
1.921552190252341006e+03 1.400066584897186994e-04 1.375028814696797941e+00
1.921558769191668716e+03 7.909277362867028836e-05 1.379217991326158188e+00
1.921565354580242001e+03 4.153722774251807353e-05 1.383401330458742251e+00
1.921572004948998028e+03 2.126869697115614999e-05 1.387615861062507339e+00
1.921578518304077761e+03 1.239101592649934879e-05 1.391733746332482369e+00
1.921585240276772538e+03 1.071334770949297544e-05 1.395973348841202277e+00
1.921591735966975648e+03 1.336764765878806803e-05 1.400060422955227590e+00
1.921598420630227793e+03 1.779750206617073467e-05 1.404256341248787621e+00
1.921604970685901208e+03 2.118645857798834040e-05 1.408357881496297148e+00
1.921611582893157674e+03 2.133116821331530950e-05 1.412488424834798417e+00
1.921618204975055050e+03 1.797270258882896357e-05 1.416615162063297184e+00
1.921624744551611684e+03 1.282609445960412023e-05 1.420680697009826687e+00
1.921631438834347364e+03 7.992673126121621933e-06 1.424832346602214805e+00
1.921637933915168333e+03 4.511379921262233803e-06 1.428850733894435177e+00
1.921644643953251489e+03 2.318961606549184833e-06 1.432992065892298328e+00
1.921651167165166953e+03 1.023323535817585787e-06 1.437008314707941548e+00
1.921657804149795993e+03 3.468919693039732318e-07 1.441084728952856109e+00
1.921664399985086675e+03 7.606991524080673040e-08 1.445126003355757582e+00
1.921670963741455807e+03 7.695403122634458955e-09 1.449137868840500554e+00
1.921677632374838367e+03 3.560723014277704518e-10 1.453203881734821623e+00
1.921684126845802211e+03 1.194304845024659676e-10 1.457154069206211933e+00
1.921690860216534475e+03 7.413833216891867764e-11 1.461239536378399428e+00
1.921697358625814786e+03 9.996001452736069358e-11 1.465172769124380103e+00
1.921704018345279565e+03 2.671866867435956525e-09 1.469193789732555100e+00
1.921710589975441280e+03 4.645780011367525658e-08 1.473151862514885835e+00
1.921717175868729782e+03 3.696865172515065699e-07 1.477108807911006405e+00
1.921723820894593018e+03 1.914936091904243063e-06 1.481091431225560751e+00
1.921730332786765985e+03 7.297362727012187749e-06 1.484984672967460284e+00
1.921737051383181097e+03 2.224685388346762580e-05 1.488991557089394124e+00
1.921743545064189902e+03 5.796313262037602594e-05 1.492854720876895636e+00
1.921750225474726903e+03 1.334858334322304560e-04 1.496819151211274956e+00
1.921756774942464062e+03 2.791054207661898263e-04 1.500696215083508367e+00
1.921763380928551442e+03 5.357613033332179683e-04 1.504597057426196205e+00
1.921770004389955830e+03 9.510429936262182297e-04 1.508498470028108107e+00
1.921776535776552009e+03 1.569230819745363404e-03 1.512336098206409574e+00
1.921783233406576755e+03 2.422000950381867496e-03 1.516261567494385565e+00
1.921789726476636133e+03 3.525315623103217246e-03 1.520057644063910196e+00
