# # g235h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
1.660198e+00 nan nan
1.660594e+00 1.294463e-14 3.178251e-17
1.660990e+00 1.275106e-14 2.107083e-17
1.661386e+00 1.298386e-14 1.909658e-17
1.661782e+00 1.315298e-14 1.917554e-17
1.662178e+00 1.306014e-14 1.892300e-17
1.662574e+00 1.329751e-14 1.863244e-17
1.662970e+00 1.354910e-14 1.720678e-17
1.663366e+00 1.346763e-14 1.429268e-17
1.663762e+00 1.343029e-14 1.234411e-17
1.664158e+00 1.372070e-14 1.220178e-17
1.664554e+00 1.385404e-14 1.179331e-17
1.664950e+00 1.376414e-14 1.169569e-17
1.665346e+00 1.361874e-14 1.142432e-17
1.665742e+00 1.351873e-14 1.148748e-17
1.666138e+00 1.330566e-14 1.137301e-17
1.666534e+00 1.311988e-14 1.143406e-17
1.666930e+00 1.299564e-14 1.139712e-17
1.667326e+00 1.274456e-14 1.145307e-17
1.667722e+00 1.257195e-14 1.132807e-17
1.668118e+00 1.274170e-14 1.161765e-17
1.668514e+00 1.318930e-14 1.202609e-17
1.668910e+00 1.339376e-14 1.299326e-17
1.669306e+00 1.424477e-14 3.031660e-17
1.669702e+00 1.316202e-14 1.343406e-17
1.670098e+00 1.311505e-14 1.331945e-17
1.670494e+00 1.344130e-14 1.346497e-17
1.670890e+00 1.359315e-14 1.376270e-17
1.671286e+00 1.371927e-14 1.404164e-17
1.671682e+00 1.364048e-14 1.509036e-17
1.672078e+00 1.335151e-14 1.566918e-17
1.672474e+00 1.315598e-14 1.539218e-17
1.672870e+00 1.325707e-14 1.557597e-17
1.673266e+00 1.340797e-14 1.569204e-17
1.673662e+00 1.353512e-14 1.621682e-17
1.674058e+00 1.348230e-14 1.631682e-17
1.674454e+00 1.343117e-14 1.810664e-17
1.674850e+00 1.380440e-14 1.978586e-17
1.675246e+00 1.368618e-14 1.919748e-17
1.675642e+00 1.359570e-14 2.097628e-17
1.676038e+00 1.358115e-14 2.312512e-17
1.676434e+00 1.339271e-14 2.388134e-17
1.676830e+00 1.324128e-14 2.534844e-17
1.677226e+00 1.345406e-14 2.750156e-17
1.677622e+00 1.358796e-14 2.932568e-17
1.678018e+00 1.372669e-14 3.072315e-17
1.678414e+00 1.365447e-14 3.407449e-17
1.678810e+00 nan nan
1.679206e+00 nan nan
1.679602e+00 nan nan
1.679998e+00 nan nan
1.680394e+00 nan nan
1.680790e+00 nan nan
1.681186e+00 nan nan
1.681582e+00 nan nan
