# Wlen(nm) Flux Flux_err
1.921314159981513058e+03 0.000000000000000000e+00 1.079803234197051944e-04
1.921320657749020256e+03 0.000000000000000000e+00 1.079803234197051944e-04
1.921327352419914632e+03 0.000000000000000000e+00 1.079803234197051944e-04
1.921333897647649792e+03 0.000000000000000000e+00 1.079803234197051944e-04
1.921340522229684439e+03 0.000000000000000000e+00 1.079803234197051944e-04
1.921347137128512486e+03 0.000000000000000000e+00 1.079803234197051944e-04
1.921353691450986162e+03 0.000000000000000000e+00 1.079803234197051944e-04
1.921360376191512842e+03 0.000000000000000000e+00 1.079803234197051944e-04
1.921366873390116325e+03 0.000000000000000000e+00 1.079803234197051944e-04
1.921373601529883217e+03 0.000000000000000000e+00 1.079803234197051944e-04
1.921380111861211617e+03 -8.152662727327038630e-05 1.079803234197051944e-04
1.921386769328457149e+03 2.349708068878495675e-04 1.079803234197051944e-04
1.921393349914208784e+03 2.487792401208091119e-04 1.079803234197051944e-04
1.921399936538119391e+03 2.062148870658128414e-04 1.079803234197051944e-04
1.921406587549010510e+03 -8.682408712286501448e-05 1.079803234197051944e-04
1.921413103158741706e+03 4.976762725977229964e-04 1.079803234197051944e-04
1.921419824765521525e+03 -2.688707656105360070e-04 1.079803234197051944e-04
1.921426321197865263e+03 1.041238044843312326e-03 1.079803234197051944e-04
1.921433009555017406e+03 1.730675714798172787e-03 1.079803234197051944e-04
1.921439557821853214e+03 1.575481989978972167e-03 1.079803234197051944e-04
1.921446174751513809e+03 1.196257505577517618e-03 1.079803234197051944e-04
1.921452794027314212e+03 8.107110930054107567e-04 1.079803234197051944e-04
1.921459339358526677e+03 4.858675983691932397e-04 1.079803234197051944e-04
1.921466029814152080e+03 -2.587797941456907737e-04 1.079803234197051944e-04
1.921472525653676257e+03 -4.348309557523563629e-05 1.079803234197051944e-04
1.921479242904109924e+03 8.369550894509024538e-05 1.079803234197051944e-04
1.921485760847511756e+03 2.426579932986524949e-04 1.079803234197051944e-04
1.921492406085913217e+03 3.024547255605093666e-04 1.079803234197051944e-04
1.921498995622487655e+03 5.108841612188585448e-04 1.079803234197051944e-04
1.921505568677788233e+03 1.390055903649578409e-03 1.079803234197051944e-04
1.921512229978507548e+03 1.073110061999360890e-04 1.079803234197051944e-04
1.921518730679606506e+03 6.534190094038173783e-04 1.079803234197051944e-04
1.921525463915475029e+03 1.884763872605544266e-03 1.079803234197051944e-04
1.921531958987244934e+03 1.607163274622701093e-03 1.079803234197051944e-04
1.921538630536055962e+03 1.819346574166964305e-03 1.079803234197051944e-04
1.921545192330590908e+03 8.551243730968994790e-04 1.079803234197051944e-04
1.921551791111263356e+03 1.331123501065495276e-04 1.079803234197051944e-04
1.921558425254647773e+03 1.017778630595538242e-03 1.079803234197051944e-04
1.921564951095970628e+03 6.322203444197046314e-04 1.079803234197051944e-04
1.921571657759319805e+03 -3.274368197967375614e-04 1.079803234197051944e-04
1.921578152237110999e+03 7.029079357303734052e-04 1.079803234197051944e-04
1.921584848096676978e+03 -5.823121617437885872e-04 1.079803234197051944e-04
1.921591384147681310e+03 -6.965753945833496415e-05 1.079803234197051944e-04
1.921598006653687435e+03 5.060189014370306037e-04 1.079803234197051944e-04
1.921604615638629639e+03 3.688081997295319416e-04 1.079803234197051944e-04
1.921611164619752344e+03 9.791830079789330590e-04 1.079803234197051944e-04
1.921617846709859577e+03 1.718669869827700245e-03 1.079803234197051944e-04
1.921624340593165471e+03 7.262701180980862120e-04 1.079803234197051944e-04
1.921631058762507791e+03 -3.099362670439949580e-04 1.079803234197051944e-04
1.921637571069813248e+03 -8.320967794615844934e-05 1.079803234197051944e-04
1.921644215299789494e+03 -1.252731087014563019e-04 1.079803234197051944e-04
1.921650801126506167e+03 1.025403642383453107e-03 1.079803234197051944e-04
1.921657371245680451e+03 1.114147295033439774e-04 1.079803234197051944e-04
1.921664030763146911e+03 1.403150168047344847e-04 1.079803234197051944e-04
1.921670526600049698e+03 3.410607567407731439e-04 1.079803234197051944e-04
1.921677259979639075e+03 -1.882140029350709391e-04 1.079803234197051944e-04
1.921683753093038149e+03 3.355910812523311363e-04 1.079803234197051944e-04
1.921690417044294691e+03 3.243884828038504455e-04 1.079803234197051944e-04
1.921696981714327421e+03 -1.312183630923734667e-03 1.079803234197051944e-04
1.921703570968478061e+03 -1.032996293328020294e-03 1.079803234197051944e-04
1.921710209915231189e+03 -7.359331413074836478e-04 1.079803234197051944e-04
1.921716724300694750e+03 3.374384493623049791e-04 1.079803234197051944e-04
1.921723437695652819e+03 -7.264680253444609839e-04 1.079803234197051944e-04
1.921729930213404486e+03 6.939126470302155181e-04 1.079803234197051944e-04
1.921736611881925683e+03 7.964680664523911616e-04 1.079803234197051944e-04
1.921743157398141875e+03 8.379203724705679797e-04 1.079803234197051944e-04
1.921749763782867149e+03 1.068604045061918731e-03 1.079803234197051944e-04
1.921756384162159748e+03 8.057578172589390615e-04 1.079803234197051944e-04
1.921762915091396280e+03 -9.833614568239895312e-05 1.079803234197051944e-04
1.921769610505361243e+03 1.784227985529901115e-04 1.079803234197051944e-04
1.921776102426958232e+03 -2.012197822353068691e-04 1.079803234197051944e-04
1.921782799807399670e+03 4.862720941373116160e-05 1.079803234197051944e-04
1.921789328173992999e+03 1.148489291472737806e-03 1.079803234197051944e-04
1.921795949683563549e+03 1.016697328178893132e-03 1.079803234197051944e-04
1.921802553499974692e+03 7.958290303410642556e-04 1.079803234197051944e-04
1.921809098966868760e+03 1.136751794941355878e-03 1.079803234197051944e-04
1.921815778404806224e+03 1.941913072160576098e-03 1.079803234197051944e-04
1.921822269729740128e+03 2.493156573884241622e-03 1.079803234197051944e-04
1.921828980815429304e+03 1.168978214827710730e-03 1.079803234197051944e-04
