# Wlen(nm) Transmission Continuum
1.921314160121768509e+03 4.071389035382774746e-03 4.025956486166639703e-01
1.921320657888742971e+03 4.589269627762057602e-03 4.034168077017670218e-01
1.921327352605385158e+03 5.278454119401181782e-03 4.042609280833173724e-01
1.921333897786133093e+03 6.121774423336855120e-03 4.050843035991443797e-01
1.921340522413504686e+03 7.093220968979066163e-03 4.059157721398970464e-01
1.921347137265760011e+03 8.169197719904918234e-03 4.067441070976858253e-01
1.921353691633159997e+03 9.333724072385772563e-03 4.075629904815554205e-01
1.921360376327526410e+03 1.057820526714162157e-02 4.083962334313314679e-01
1.921366873525602841e+03 1.189918687032992008e-02 4.092042457593703109e-01
1.921373601709711238e+03 1.329606529051699862e-02 4.100390543152847567e-01
1.921380111995468042e+03 1.476878580500089536e-02 4.108449593333360905e-01
1.921386769506646715e+03 1.631512981116187144e-02 4.116671915899452472e-01
1.921393350047237618e+03 1.792790838863332972e-02 4.124780336406137504e-01
1.921399936714675050e+03 1.959403583919156616e-02 4.132877567650727335e-01
1.921406587680815392e+03 2.129633394464018614e-02 4.141034839064696715e-01
1.921413103333665958e+03 2.301685442121386566e-02 4.149007651169462352e-01
1.921419824896103819e+03 2.473916469199910137e-02 4.157213253534256525e-01
1.921426321327925052e+03 2.644823956380314492e-02 4.165125536868199418e-01
1.921433009727617673e+03 2.812863401670223293e-02 4.173252663733220125e-01
1.921439557950694507e+03 2.976261452134645533e-02 4.181190840841437772e-01
1.921446174922491082e+03 3.132879889683595764e-02 4.189193663600723205e-01
1.921452794154939738e+03 3.280109353241734971e-02 4.197180435329366244e-01
1.921459339527885049e+03 3.414758508838844353e-02 4.205059630835862317e-01
1.921466029940564567e+03 3.532972128975150200e-02 4.213094472470310103e-01
1.921472525779569651e+03 3.630182255512869743e-02 4.220877328775444193e-01
1.921479243071161136e+03 3.701071329046370928e-02 4.228906557136590250e-01
1.921485760972195976e+03 3.739491515981050590e-02 4.236679045410194910e-01
1.921492406251353486e+03 3.738368046187414556e-02 4.244584783413440920e-01
1.921498995745964976e+03 3.689727920329131938e-02 4.252405583182683468e-01
1.921505568841621653e+03 3.585081249193354525e-02 4.260188512224384882e-01
1.921512230100780698e+03 3.416448597907259521e-02 4.268057094143691277e-01
1.921518730841835577e+03 3.178247186154025544e-02 4.275717896047925848e-01
1.921525464036546737e+03 2.870035845840481631e-02 4.283633730317069621e-01
1.921531959107802322e+03 2.499604958754271175e-02 4.291251407601321954e-01
1.921538630696000382e+03 2.085271393606960566e-02 4.299057512663201353e-01
1.921545192449950264e+03 1.655857219910055605e-02 4.306716739059778254e-01
1.921551791269612977e+03 1.247204041039498730e-02 4.314400879415163370e-01
1.921558425372812508e+03 8.954588192227892762e-03 4.322107573937016278e-01
1.921564951252727269e+03 6.291232731670018744e-03 4.329670435791055372e-01
1.921571657876291283e+03 4.626794683718000664e-03 4.337424064167650917e-01
1.921578152353572477e+03 3.936441960153274321e-03 4.344914381266288261e-01
1.921584848251165795e+03 4.031830811804945451e-03 4.352618431748812577e-01
1.921591384262953625e+03 4.596146938128965742e-03 4.360120355756894051e-01
1.921598006806593276e+03 5.247331689899271435e-03 4.367703311313253511e-01
1.921604615752715745e+03 5.629089741026781918e-03 4.375252363589944293e-01
1.921611164771077711e+03 5.511675517167491725e-03 4.382714914680517215e-01
1.921617846822761976e+03 4.860590147121810096e-03 4.390310556612517789e-01
1.921624340705561508e+03 3.831103322563232834e-03 4.397674416612149528e-01
1.921631058911582159e+03 2.683098744083705321e-03 4.405274115892137132e-01
1.921637571181029216e+03 1.660934746216093452e-03 4.412622882423958282e-01
1.921644215447292709e+03 9.048572157264633993e-04 4.420102381642780909e-01
1.921650801236544794e+03 4.333266940235631654e-04 4.427497911196727198e-01
1.921657371391615243e+03 1.844543336134112218e-04 4.434857904942589024e-01
1.921664030872010699e+03 7.362175872513308718e-05 4.442299654687867916e-01
1.921670526744419931e+03 3.205654540707607596e-05 4.449540837860856413e-01
1.921677260087330751e+03 1.825288062246487665e-05 4.457028264630341630e-01
1.921683753200228693e+03 1.280778116254354154e-05 4.464230764563386078e-01
1.921690417186436207e+03 9.330641179371766631e-06 4.471604658939719590e-01
1.921696981820349265e+03 8.093811886550631170e-06 4.478850661200668992e-01
1.921703571109062750e+03 1.489157610117066813e-05 4.486105973614094578e-01
1.921710210020087061e+03 4.649909853716284138e-05 4.493397801779326350e-01
1.921716724439726931e+03 1.453293543869751459e-04 4.500535231096637334e-01
1.921723437799345447e+03 4.038699813112035797e-04 4.507872337943271690e-01
1.921729930316600303e+03 9.938107510943621891e-04 4.514950444023521081e-01
1.921736612018745745e+03 2.183558211203481727e-03 4.522216706551680510e-01
1.921743157500177631e+03 4.323939594858735788e-03 4.529317054392100195e-01
1.921749763918142889e+03 7.788755745602254053e-03 4.536465682544562616e-01
1.921756384263038626e+03 1.288272846638947172e-02 4.543611437618106930e-01
1.921762915225131337e+03 1.975243861404369500e-02 4.550643134100400555e-01
1.921769610605085745e+03 2.834026093603619900e-02 4.557833745255603919e-01
1.921776102526188879e+03 3.840054606671134546e-02 4.564788358995655049e-01
1.921782799938939661e+03 4.956466732120719948e-02 4.571945082630350932e-01
1.921789328272073362e+03 6.142287898832511639e-02 4.578903527901887482e-01
1.921795949813571269e+03 7.359194634732636742e-02 4.585943588382817571e-01
1.921802553596907046e+03 8.575486592136317976e-02 4.592946998273617631e-01
1.921809099095347847e+03 9.767518458296257922e-02 4.599871102019453817e-01
1.921815778500593069e+03 1.091946627709709100e-01 4.606918921576633186e-01
1.921822269825036983e+03 1.202223951543298780e-01 4.613750944010711064e-01
1.921828980941730606e+03 1.307193433144308026e-01 4.620796340126097079e-01
1.921835494132078338e+03 1.406814536728473175e-01 4.627616515199850511e-01
1.921842128790059860e+03 1.501236224300112054e-01 4.634546242576967900e-01
1.921848718017734654e+03 1.590686928930080679e-01 4.641410916155191413e-01
1.921855276045088203e+03 1.675424762780151622e-01 4.648225684800401103e-01
1.921861941481908616e+03 1.755734861591222440e-01 4.655134298253204017e-01
1.921868432209184448e+03 1.831917883045315054e-01 4.661844629934926432e-01
1.921875155021828505e+03 1.904255722460291012e-01 4.668777026785360107e-01
1.921881655076230572e+03 1.972982942848585386e-01 4.675462446088572976e-01
1.921888300842317676e+03 2.038289752649110331e-01 4.682280191370262190e-01
1.921894877521557646e+03 2.100350876278638257e-01 4.689009620001878265e-01
1.921901446069059148e+03 2.159334963748541503e-01 4.695713427180341903e-01
1.921908099545067444e+03 2.215387310615598015e-01 4.702486302960985909e-01
1.921914590701921952e+03 2.268615572629727462e-01 4.709076885621771291e-01
1.921921321146663786e+03 2.319117051594803969e-01 4.715892646228013740e-01
1.921927811100566032e+03 2.367054083337934711e-01 4.722447746701706195e-01
1.921934465965048730e+03 2.412727350943453530e-01 4.729151975793082219e-01
1.921941032104411079e+03 2.456591185235668662e-01 4.735749534883116896e-01
1.921947609161963783e+03 2.499165369575944706e-01 4.742340868684944422e-01
1.921954252686103928e+03 2.540859681925664026e-01 4.748981359705551908e-01
1.921960751764552697e+03 2.581787398781902332e-01 4.755460515100271568e-01
1.921967472845548400e+03 2.621673323671855904e-01 4.762143372341801628e-01
1.921973962201115683e+03 2.659918736562030817e-01 4.768578839496514510e-01
1.921980624152952942e+03 2.695784508868384610e-01 4.775168131660535442e-01
1.921987181762325235e+03 2.728591898399287397e-01 4.781637082191482202e-01
1.921993765318500664e+03 2.757834831375878260e-01 4.788114543621639907e-01
1.922000400901048579e+03 2.783162599084974542e-01 4.794625888814638137e-01
1.922006905889275458e+03 2.804259982664322193e-01 4.800992239564141895e-01
1.922013619617187032e+03 2.820740784324421435e-01 4.807545410447600087e-01
1.922020108373909125e+03 2.832265052149833262e-01 4.813862143253698767e-01
1.922026775400725910e+03 2.839030988655853460e-01 4.820335189567007683e-01
1.922033326491329944e+03 2.842513907580623278e-01 4.826678679641995817e-01
1.922039914533365391e+03 2.845888418263339270e-01 4.833040981077527665e-01
1.922046544185927814e+03 2.853435292544190816e-01 4.839426306934851985e-01
1.922053053070783335e+03 2.868796684433420063e-01 4.845678586590166925e-01
1.922059761457606101e+03 2.892973541128938675e-01 4.852105176125685038e-01
1.922066249614972776e+03 2.923457981132852046e-01 4.858304073071505469e-01
1.922072919703060279e+03 2.955222100048543465e-01 4.864659674882466645e-01
1.922079466287448668e+03 2.982996527962812339e-01 4.870880741263900471e-01
1.922086056801248333e+03 3.003527434126778140e-01 4.877126704911731725e-01
1.922092682536766461e+03 3.016768188139307694e-01 4.883389027029146345e-01
1.922099193303765787e+03 3.025655966300513366e-01 4.889526078527579034e-01
1.922105898362828611e+03 3.034665290670873206e-01 4.895829081270206551e-01
1.922112385920329189e+03 3.047714837789208819e-01 4.901911040360855121e-01
1.922119057054643690e+03 3.066349087740709023e-01 4.908148107745339828e-01
1.922125601146704639e+03 3.089095997049019493e-01 4.914249677400548411e-01
1.922132192116835313e+03 3.112233514518045752e-01 4.920378233751169228e-01
1.922138815949585933e+03 3.131311895536671441e-01 4.926520458371239641e-01
1.922145326582909320e+03 3.142398073517129187e-01 4.932541232493451444e-01
1.922152030328875526e+03 3.142447760310021487e-01 4.938723534086190692e-01
1.922158517285998414e+03 3.128914236449885644e-01 4.944689452842606636e-01
1.922165187450159465e+03 3.099088999629834307e-01 4.950807003060113676e-01
1.922171731065116091e+03 3.049541898252793315e-01 4.956791894702361478e-01
1.922178320474810789e+03 2.975797853806919635e-01 4.962802080989494047e-01
1.922184944420403781e+03 2.872280904459361683e-01 4.968827006541611802e-01
1.922191452902893616e+03 2.732660696595935468e-01 4.974730560365051568e-01
1.922198157351763484e+03 2.550962080340327121e-01 4.980794939083412198e-01
1.922204643707997320e+03 2.323829117779859232e-01 4.986645714543274099e-01
1.922211310884287741e+03 2.053994382379120409e-01 4.992642870491287299e-01
1.922217856038699438e+03 1.754107178366318132e-01 4.998513796125486075e-01
1.922224441869851034e+03 1.449006839855343232e-01 5.004404754775104713e-01
1.922231067945235282e+03 1.174142093194071729e-01 5.010315073424685961e-01
1.922237572258397449e+03 9.690588618446675795e-02 5.016100568780212932e-01
1.922244279427506854e+03 8.674082916244919839e-02 5.022049697074433272e-01
1.922250765182339137e+03 8.873154732650938292e-02 5.027786225790175090e-01
1.922257427351703200e+03 1.026317250983146967e-01 5.033662214458438644e-01
1.922263976063467453e+03 1.262997171261585894e-01 5.039421780925076311e-01
1.922270556296631412e+03 1.564116180664198996e-01 5.045192758013781198e-01
1.922277186520092528e+03 1.893701841678303577e-01 5.050991057203730872e-01
1.922283684644092773e+03 2.220566304170079330e-01 5.056657759126674812e-01
1.922290396552116363e+03 2.522450181058776275e-01 5.062494205169508765e-01
1.922296881705035048e+03 2.786891565180996677e-01 5.068117383209168603e-01
1.922303536847078021e+03 3.009843809063926234e-01 5.073871534133038708e-01
1.922310091135429502e+03 3.193166718325199938e-01 5.079522244653078555e-01
1.922316663749822055e+03 3.341937633733494395e-01 5.085172588359991863e-01
1.922323300140983747e+03 3.462237602396588398e-01 5.090861352356449432e-01
1.922329790054649038e+03 3.559731403676753003e-01 5.096408627542334813e-01
1.922336508721600012e+03 3.639001811176356682e-01 5.102134856772745364e-01
1.922342993272092144e+03 3.703397400071423151e-01 5.107645579718227413e-01
1.922349639365078929e+03 3.755097770388542977e-01 5.113277323431694166e-01
1.922356201250592903e+03 3.795229180978063610e-01 5.118821579153562951e-01
1.922362764224089460e+03 3.824002602659073990e-01 5.124350738212561929e-01
1.922369408803915576e+03 3.841058397436195038e-01 5.129932349652474022e-01
1.922375892928653457e+03 3.846186042293681107e-01 5.135363381750142064e-01
1.922382611487958684e+03 3.840352122947452429e-01 5.140974335734392886e-01
1.922389099879515243e+03 3.826433964270640753e-01 5.146377204525343085e-01
1.922395734900370144e+03 3.808689267913428766e-01 5.151886071013305202e-01
1.922402306404960200e+03 3.790480427548538755e-01 5.157326172558291955e-01
1.922408857714094438e+03 3.771213011290293071e-01 5.162733694709565890e-01
1.922415512504890103e+03 3.744699109334870823e-01 5.168210436147566700e-01
1.922421996026323086e+03 3.700952287349755232e-01 5.173530546491040827e-01
1.922428702081584561e+03 3.631591014650576432e-01 5.179016995442846660e-01
1.922435201523305295e+03 3.536773555603682229e-01 5.184318643123120296e-01
1.922441823447609750e+03 3.430069993765836878e-01 5.189704260271654768e-01
1.922448406594532798e+03 3.337436687715965022e-01 5.195042409283782137e-01
1.922454944214495754e+03 3.288575916096272977e-01 5.200327939725403192e-01
1.922461611239906460e+03 3.303831116451278471e-01 5.205701995180351815e-01
1.922468094157522046e+03 3.384254543191345665e-01 5.210912078033561601e-01
1.922474785683368054e+03 3.511558626620549517e-01 5.216273729195969322e-01
1.922481298199461207e+03 3.657780242581114560e-01 5.221476277286195566e-01
1.922487905001452191e+03 3.797756097838592138e-01 5.226738369332916134e-01
1.922494501815307103e+03 3.916910334786491976e-01 5.231976670025226817e-01
1.922501023719946943e+03 4.011786499363003689e-01 5.237139949864151323e-01
1.922507705004962418e+03 4.085853261001501369e-01 5.242413406369478279e-01
