# # g235h data
# # wave: um # flux: erg/s/cm^2/nm # err: erg/s/cm^2/nm
1.660198e+00 nan nan
1.660594e+00 1.330990e-14 4.006837e-17
1.660990e+00 1.316820e-14 2.430799e-17
1.661386e+00 1.339989e-14 2.196232e-17
1.661782e+00 1.377688e-14 2.205850e-17
1.662178e+00 1.368066e-14 2.127542e-17
1.662574e+00 1.385812e-14 2.047019e-17
1.662970e+00 1.422503e-14 1.839276e-17
1.663366e+00 1.406490e-14 1.457458e-17
1.663762e+00 1.391916e-14 1.239648e-17
1.664158e+00 1.419308e-14 1.382628e-17
1.664554e+00 1.454535e-14 1.147150e-17
1.664950e+00 1.442003e-14 1.090411e-17
1.665346e+00 1.429919e-14 1.073627e-17
1.665742e+00 1.426865e-14 1.058331e-17
1.666138e+00 1.405381e-14 1.036739e-17
1.666534e+00 1.382305e-14 1.020395e-17
1.666930e+00 1.368270e-14 1.008558e-17
1.667326e+00 1.339614e-14 9.963487e-18
1.667722e+00 1.313732e-14 9.959361e-18
1.668118e+00 1.332471e-14 1.014057e-17
1.668514e+00 1.381037e-14 1.031096e-17
1.668910e+00 1.413915e-14 1.093772e-17
1.669306e+00 1.407506e-14 1.147881e-17
1.669702e+00 1.384419e-14 1.151214e-17
1.670098e+00 1.375958e-14 1.174104e-17
1.670494e+00 1.409231e-14 1.200116e-17
1.670890e+00 1.437219e-14 1.250295e-17
1.671286e+00 1.434982e-14 1.275707e-17
1.671682e+00 1.429335e-14 1.391771e-17
1.672078e+00 1.399214e-14 1.496081e-17
1.672474e+00 1.381838e-14 1.513729e-17
1.672870e+00 1.383382e-14 1.562731e-17
1.673266e+00 1.395485e-14 1.594901e-17
1.673662e+00 1.418280e-14 1.669196e-17
1.674058e+00 1.411493e-14 1.747020e-17
1.674454e+00 1.394907e-14 1.929947e-17
1.674850e+00 1.432933e-14 2.204859e-17
1.675246e+00 1.438578e-14 2.239411e-17
1.675642e+00 1.424939e-14 2.420604e-17
1.676038e+00 1.420206e-14 2.738366e-17
1.676434e+00 1.396065e-14 2.871113e-17
1.676830e+00 1.380587e-14 3.067912e-17
1.677226e+00 1.417734e-14 3.463320e-17
1.677622e+00 1.405432e-14 4.962422e-17
1.678018e+00 1.428545e-14 3.867582e-17
1.678414e+00 1.420066e-14 4.357295e-17
1.678810e+00 1.425629e-14 4.880267e-17
1.679206e+00 1.444235e-14 5.225433e-17
1.679602e+00 1.437814e-14 5.318567e-17
1.679998e+00 1.424258e-14 6.106737e-17
1.680394e+00 1.446837e-14 6.768604e-17
1.680790e+00 1.456608e-14 6.776279e-17
1.681186e+00 1.412600e-14 6.502068e-17
1.681582e+00 1.389430e-14 6.335438e-17
1.681978e+00 1.412233e-14 6.357892e-17
1.682374e+00 1.435710e-14 7.184658e-17
1.682770e+00 1.438478e-14 7.074837e-17
1.683166e+00 1.441813e-14 5.441348e-17
1.683562e+00 1.455592e-14 3.883587e-17
1.683958e+00 1.450509e-14 2.554352e-17
1.684354e+00 1.415929e-14 2.119149e-17
1.684750e+00 1.373169e-14 2.010146e-17
1.685146e+00 1.380340e-14 1.841441e-17
1.685542e+00 1.404280e-14 1.801042e-17
1.685938e+00 1.428224e-14 1.702447e-17
1.686334e+00 1.424963e-14 1.709415e-17
1.686730e+00 1.367999e-14 1.535799e-17
1.687126e+00 1.355054e-14 1.504413e-17
1.687522e+00 1.379522e-14 1.517255e-17
1.687918e+00 1.378557e-14 1.501182e-17
1.688314e+00 1.352971e-14 1.443703e-17
1.688710e+00 1.343202e-14 1.355755e-17
1.689106e+00 1.329272e-14 1.259839e-17
1.689502e+00 1.329847e-14 1.175441e-17
1.689898e+00 1.372600e-14 1.169610e-17
1.690294e+00 1.411683e-14 1.175775e-17
1.690690e+00 1.424144e-14 1.133420e-17
1.691086e+00 1.424953e-14 1.115491e-17
1.691482e+00 1.437729e-14 1.122344e-17
1.691878e+00 1.406471e-14 1.111370e-17
1.692274e+00 1.345567e-14 1.065334e-17
1.692670e+00 1.347507e-14 1.025683e-17
1.693066e+00 1.415729e-14 1.029853e-17
1.693462e+00 1.407647e-14 1.008172e-17
1.693858e+00 nan nan
1.694254e+00 1.356315e-14 1.369134e-17
1.694650e+00 1.342990e-14 9.762160e-18
1.695046e+00 1.367125e-14 1.017900e-17
1.695442e+00 1.367634e-14 1.082344e-17
1.695838e+00 1.373090e-14 1.079447e-17
1.696234e+00 nan nan
1.696630e+00 1.366157e-14 1.536062e-17
1.697026e+00 1.327160e-14 1.261536e-17
1.697422e+00 1.313368e-14 1.210468e-17
1.697818e+00 1.336154e-14 1.136877e-17
1.698214e+00 1.369560e-14 1.135210e-17
1.698610e+00 1.377166e-14 1.157404e-17
1.699006e+00 1.375092e-14 1.173936e-17
1.699402e+00 1.360964e-14 1.211259e-17
1.699798e+00 1.355266e-14 1.208100e-17
1.700194e+00 1.355014e-14 1.156352e-17
1.700590e+00 1.322375e-14 1.126466e-17
1.700986e+00 1.273997e-14 1.112409e-17
1.701382e+00 1.288941e-14 1.129430e-17
1.701778e+00 1.346546e-14 1.182337e-17
1.702174e+00 1.377542e-14 1.202743e-17
1.702570e+00 1.370958e-14 1.209004e-17
1.702966e+00 1.366076e-14 1.217950e-17
1.703362e+00 1.359848e-14 1.248770e-17
1.703758e+00 1.330243e-14 1.284317e-17
1.704154e+00 1.304388e-14 1.281490e-17
1.704550e+00 1.323774e-14 1.322513e-17
1.704946e+00 1.334329e-14 1.448739e-17
1.705342e+00 1.306447e-14 1.692036e-17
1.705738e+00 1.317948e-14 1.834902e-17
1.706134e+00 1.351318e-14 1.877798e-17
1.706530e+00 1.331209e-14 2.280667e-17
1.706926e+00 1.310627e-14 2.258555e-17
1.707322e+00 1.282913e-14 1.683700e-17
1.707718e+00 1.285143e-14 1.590165e-17
1.708114e+00 1.280798e-14 1.679848e-17
1.708510e+00 1.245465e-14 1.712852e-17
1.708906e+00 1.271875e-14 1.758097e-17
1.709302e+00 1.323704e-14 1.790613e-17
1.709698e+00 1.343632e-14 1.665326e-17
1.710094e+00 1.356178e-14 1.565424e-17
1.710490e+00 1.359718e-14 1.546416e-17
1.710886e+00 1.283304e-14 1.460337e-17
1.711282e+00 1.267557e-14 1.398212e-17
1.711678e+00 1.275062e-14 1.310112e-17
1.712074e+00 1.268182e-14 1.236801e-17
1.712470e+00 1.287930e-14 1.240465e-17
1.712866e+00 1.324188e-14 1.255747e-17
1.713262e+00 1.332863e-14 1.250978e-17
1.713658e+00 1.307889e-14 1.119005e-17
1.714054e+00 1.251985e-14 1.010404e-17
1.714450e+00 1.209944e-14 9.562195e-18
1.714846e+00 1.233158e-14 9.698984e-18
1.715242e+00 1.278893e-14 1.183262e-17
1.715638e+00 1.281113e-14 9.453958e-18
1.716034e+00 nan nan
1.716430e+00 1.283624e-14 1.334401e-17
1.716826e+00 1.293143e-14 1.045569e-17
1.717222e+00 1.266520e-14 1.190417e-17
