name,pRT_name,mass,color,mathtext_name,C,O,H
12CO,CO_high_Sam,28.009999999999998,#71bf6e,$^{12}$CO,1.0,1.0,0.0
13CO,CO_36_high_Sam,29.002355,#e30b5d,$^{13}$CO,1.0,1.0,0.0
C18O,CO_28_high_Sam,30.010161,C6,C$^{18}$O,1.0,1.0,0.0
C17O,CO_27_high_Sam,29.010130999999998,C7,C$^{17}$O,1.0,1.0,0.0
H2O,H2O_pokazatel_main_iso,18.014680000000002,#3881bb,H$_2$O,0.0,1.0,2.0
H2O_181,H2O_181_HotWat78,20.014841,C7,H$_2^{18}$O,0.0,1.0,2.0
HDO,HDO_voronin,19.02084,b,HDO,0.0,1.0,2.0
CH4,CH4_MM_main_iso,16.04236,#ff71ce,CH$_4$,1.0,0.0,4.0
13CH4,CH4_31111_hargreaves,17.034715000000002,magenta,$^{13}$CH$_4$,1.0,0.0,4.0
NH3,NH3_coles_main_iso_Sam,17.03022,#b967ff,NH$_3$,0.0,0.0,3.0
HCN,HCN_main_iso,27.02554,orange,HCN,1.0,0.0,1.0
NH,NH_kNigHt_main_iso,15.01454,#ff71ce,NH,0.0,0.0,1.0
SH,SH_main_iso,33.987721,C10,SH,0.0,0.0,1.0
CN,CN_high,26.017699999999998,magenta,CN,1.0,0.0,0.0
13CN,CN_34_high,27.010055,#ff71ce,$^{13}$CN,1.0,0.0,0.0
H2S,H2S_Sid_main_iso,34.08068,C11,H$_2$S,0.0,0.0,2.0
FeH,FeH_main_iso,56.85284,C12,FeH,0.0,0.0,1.0
CrH,CrH_main_iso,53.00394,C15,CrH,0.0,0.0,1.0
NaH,NaH_main_iso,23.997609,C16,NaH,0.0,0.0,1.0
CaH,CaH_XAB_main_iso,41.085840000000005,C1,CaH,0.0,0.0,1.0
TiH,TiH_main_iso,48.87484,C2,TiH,0.0,0.0,1.0
AlH,AlH_AloHa_main_iso,27.989379000000003,C3,AlH,0.0,0.0,1.0
MgH,MgH_main_iso,25.31284,C4,MgH,0.0,0.0,1.0
ScH,ScH_main_iso,45.963748,C5,ScH,0.0,0.0,1.0
TiO,TiO_48_Exomol_McKemmish,63.866,C13,TiO,0.0,1.0,0.0
VO,VO_HyVO_main_iso,66.9405,C15,VO,0.0,1.0,0.0
MgO,MgO_Sid_main_iso,40.304,C6,MgO,0.0,1.0,0.0
AlO,AlO_main_iso,42.980539,C14,AlO,0.0,1.0,0.0
SiO,SiO_SiOUVenIR_main_iso,44.084,C7,SiO,0.0,1.0,0.0
CO2,CO2_main_iso,44.009,C9,CO$_2$,1.0,2.0,0.0
HF,HF_high,20.006243,#00ced1,HF,0.0,0.0,1.0
HCl,HCl_main_iso,36.460840000000005,C15,HCl,0.0,0.0,1.0
C2H2,C2H2_main_iso,26.037679999999998,#50FF45,C$_2$H$_2$,2.0,0.0,2.0
H2,H2_main_iso,2.01568,C8,H2,0.0,0.0,2.0
OH,OH_MYTHOS_main_iso,17.00684,#FF7B0D,OH,0.0,1.0,1.0
K,K_high,39.0983,C18,K,0.0,0.0,0.0
Na,Na_allard_high,22.989769,#daa520,Na,0.0,0.0,0.0
Ti,Ti_high,47.867,#ff8e56,Ti,0.0,0.0,0.0
Fe,Fe_high,55.845,C21,Fe,0.0,0.0,0.0
Ca,Ca_high,40.078,#984ea3,Ca,0.0,0.0,0.0
Al,Al_high,26.981539,C23,Al,0.0,0.0,0.0
Mg,Mg_high,24.305,#845224,Mg,0.0,0.0,0.0
Mn,Mn_high,54.938044,C9,Mn,0.0,0.0,0.0
Si,Si_high,28.085,C25,Si,0.0,0.0,0.0
Sc,Sc_high,44.95591,C11,Sc,0.0,0.0,0.0
Li,Li_high,6.94,C24,Li,0.0,0.0,0.0
Sc,Sc_high,44.95591,C22,Sc,0.0,0.0,0.0
He,He,4.002602,C10,He,0.0,0.0,0.0
CaII,Ca+,40.078,C26,CaII,0.0,0.0,0.0
FeII,Fe+,55.845,C27,FeII,0.0,0.0,0.0
