Gl 338B,M0V,42.0,4.0
Gl 846,M0.5V,22.0,0.0
Gl 410,M1.0V,14.0,0.0
Gl 205,M1.5V,35.0,0.0
Gl 514,M1.0V,30.0,0.0
Gl 880,M1.5V,37.0,0.0
Gl 382,M2V,22.0,0.0
Gl 412A,M1.0V,37.0,2.0
Gl 15A,M2V,43.0,0.0
Gl 411,M2V,427.0,34.0
Gl 752A,M3V,45.0,4.0
Gl 48,M3.0V,52.0,2.0
Gl 617B,M3.0V,43.0,3.0
Gl 436,M3V,48.0,13.0
Gl 480,M3.5V,25.0,0.0
Gl 849,M3.5V,42.0,1.0
Gl 408,M4V,172.0,7.0
Gl 687,M3.0V,57.0,1.0
Gl 725A,M3V,102.0,4.0
Gl 317,M3.5V,39.0,4.0
Gl 251,M3V,93.0,7.0
Gl 4063,M4V,41.0,4.0
Gl 4333,M3.5V,71.0,2.0
Gl 725B,M3.5V,135.0,15.0
Gl 876,M3.5V,84.0,3.0
Gl 3378,M4.0V,95.0,2.0
Gl 169.1A,M4.0V,92.0,4.0
Gl 15B,M3.5V,113.0,4.0
Gl 699,M4V,136.0,13.0
Gl 1289,M4.5V,74.0,1.0
Gl 447,M4V,24.0,4.0
Gl 1151,M4.5V,176.0,5.0
Gl 1103,M4.5V,143.0,10.0
Gl 905,M5.0V,114.0,3.0
Gl 1286,M5.0V,178.0,15.0
Gl 1002,M5.5V,90.0,3.0
