Star,SpT,Distance (pc),M/M_sun,Teff (K),log g,[M/H]
Gl 338B,M0.0,6.334,0.58 +- 0.02,3899 +- 30,4.71+-0.05,-0.11 +-0.10
Gl 846,M0.5,10.57,0.57 +- 0.02,3821 +- 30,4.68 +- 0.05,0.05 +- 0.10
Gl 410,M1.0,11.94,0.55 +- 0.02,3842 +- 31,4.87 +- 0.05,-0.02 +- 0.10
Gl 205,M1.5,5.704,0.58 +- 0.02,3747 +- 31,4.74 +- 0.05,0.41 +- 0.10
Gl 514,M1.0,7.63,0.50 +- 0.02,3710 +- 31,4.75 +- 0.05,-0.12 +- 0.10
Gl 880,M1.5,6.868,0.55 +- 0.02,3702 +- 30,4.72 +- 0.12,0.24 +- 0.10
Gl 15A,M2.0,3.563,0.39 +- 0.02,3660 +- 31,4.98 +- 0.12,-0.29 +- 0.10
Gl 412A,M1.0,4.9046,0.39 +- 0.02,3650 +- 30,4.75 +- 0.05,-0.40 +- 0.10
Gl 382,M2.0,7.707,0.51 +- 0.02,3645 +- 31,4.73 +- 0.02,0.13 +- 0.10
Gl 411,M2.0,2.547,0.39 +- 0.02,3601 +- 30,4.84 +- 0.12,-0.32 +- 0.10
Gl 752A,M3.0,5.912,0.47 +- 0.02,3579 +- 31,4.76 +- 0.12,0.11 +- 0.10
Gl 48,M3.0,8.23,0.43 +- 0.02,3529 +- 31,4.68 +- 0.05,0.08 +- 0.10
Gl 617B,M3.0,10.77,0.45 +- 0.02,3532 +- 30,4.77 +- 0.05,0.14 +- 0.10
Gl 436,M3.0,9.756,0.316 +- 0.002,3531 +- 30,4.81 +- 0.13,0.00 +- 0.10
Gl 480,M3.5,14.26,0.45 +- 0.02,3505 +- 30,4.72 +- 0.05,0.20 +- 0.10
Gl 849,M3.5,8.803,0.347 +- 0.002,3512 +- 30,4.78 +- 0.13,0.26 +- 0.10
Gl 408,M2.5,6.748,0.38 +- 0.02,3512 +- 31,4.83 +- 0.03,-0.13 +- 0.10
Gl 687,M3.0,4.550,0.413 +- 0.041,3498 +- 30,4.80 +- 0.00,0.02 +- 0.10
Gl 725A,M3.0,3.522,0.256 +- 0.002,3485 +- 31,4.87 +- 0.12,-0.21 +- 0.10
Gl 317,M3.5,15.18,0.42 +- 0.02,3473 +- 31,4.83 +- 0.05,0.23 +- 0.10
Gl 4333,M3.5,10.60,0.37 +- 0.02,3467 +- 31,4.86 +- 0.05,0.26 +- 0.10
Gl 4063,M3.5,10.893,--,3419 +- 31,4.77 +- 0.06,0.42 +- 0.10
Gl 725B,M3.5,3.523,0.208 +- 0.002,3399 +- 30,4.96 +- 0.13,-0.21 +- 0.10
Gl 876,M3.5,4.67,0.33 +- 0.00,3395 +- 30,4.80 +- 0.00,0.16 +- 0.10
Gl 445,M4.0,5.2541,0.24 +- 0.02,3379 +- 31,4.78 +- 0.06,-0.17 +- 0.10
Gl 15B,M3.5,3.561,0.151 +- 0.001,3362 +- 30,5.07 +- 0.13,-0.33 +- 0.10
Gl 699,M4.0,1.827,0.150 +- 0.001,3326 +- 31,5.09 +- 0.12,-0.37 +- 0.10
Gl 447,M4.0,3.3749,0.18 +- 0.02,3291 +- 30,4.82 +- 0.06,-0.07 +- 0.10
Gl 1151,M4.5,8.041,0.17 +- 0.02,3278 +- 31,4.71 +- 0.06,-0.03 +- 0.10
Gl 905,M5.0,3.155,0.142 +- 0.001,3161 +- 31,4.97 +- 0.04,0.24 +- 0.10
Gl 1002,M5.5,4.8461,0.12 +- 0.02,3110 +- 32,4.63 +- 0.06,-0.03 +- 0.10
Gl 1286,M5.5,7.177,0.12 +- 0.02,3121 +- 31,5.21 +- 0.08,0.08 +- 0.10
