Name,Spectral Type,Period (days),Period Error (days),Age (Gyr),Age Error (Gyr)
Gl 338B,M0,42.0,4.0,3.87,1.34
Gl 846,M0.5,22.0,0.0,2.1,1.16
Gl 410,M1.0,14.0,0.0,0.67,1.12
Gl 205,M1.5,35.0,0.0,3.33,1.28
Gl 514,M1.0,30.0,0.0,2.99,1.25
Gl 880,M1.5,37.0,0.0,3.47,1.3
Gl 382,M2,22.0,0.0,2.1,1.16
Gl 412A,M1.0,37.0,2.0,3.47,1.3
Gl 15A,M2,43.0,0.0,3.95,1.35
Gl 411,M2,427.0,34.0,,27.5
Gl 752A,M3,45.0,4.0,3.55,1.17
Gl 48,M3.0,52.0,2.0,3.79,1.19
Gl 617B,M3.0,43.0,3.0,3.49,1.16
Gl 436,M3,48.0,13.0,3.65,1.18
Gl 480,M3.5,25.0,0.0,2.95,1.1
Gl 849,M3.5,42.0,1.0,3.45,1.15
Gl 408,M4,172.0,7.0,11.19,2.57
Gl 687,M3.0,57.0,1.0,3.96,1.21
Gl 725A,M3,102.0,4.0,6.0,1.44
Gl 317,M3.5,39.0,4.0,3.36,1.14
Gl 251,M3,93.0,7.0,5.52,1.39
Gl 4063,M4,41.0,4.0,3.45,1.25
Gl 4333,M3.5,71.0,2.0,4.51,1.28
Gl 725B,M3.5,135.0,15.0,8.13,1.63
Gl 876,M3.5,84.0,3.0,5.08,1.34
Gl 3378,M4.0,95.0,2.0,5.6,1.66
Gl 169.1A,M4.0,92.0,4.0,5.46,1.63
Gl 15B,M3.5,113.0,4.0,6.64,1.5
Gl 699,M4,136.0,13.0,8.1,2.09
Gl 1289,M4.5,74.0,1.0,4.64,1.48
Gl 447,M4,24.0,4.0,2.76,1.13
Gl 1151,M4.5,176.0,5.0,11.6,2.63
Gl 1103,M4.5,143.0,10.0,8.62,2.18
Gl 905,M5.0,114.0,3.0,6.65,1.84
Gl 1286,M5.0,178.0,15.0,11.81,2.67
Gl 1002,M5.5,90.0,3.0,5.36,1.61
