object_name,log_12C/13C,is_lower_limit
GJ 15A,1.64,False
GJ 54.1,2.3,True
GJ 105B,1.81,False
GJ 166C,2.3,True
GJ 176,1.83,False
GJ 179,1.69,False
GJ 205,2.15,False
GJ 212,2.13,False
GJ 229,1.9,False
GJ 231.1B,1.85,False
GJ 250B,2.3,True
GJ 273,1.98,False
GJ 324B,1.75,False
GJ 338A,2.02,False
GJ 338B,2.3,True
GJ 380,2.3,True
GJ 406,1.96,False
GJ 411,2.3,True
GJ 412A,2.3,True
GJ 436,1.95,False
GJ 526,2.3,True
GJ 581,2.09,False
GJ 611B,1.73,False
GJ 649,2.07,False
GJ 687,2.3,True
GJ 725A,2.3,True
GJ 725B,2.13,False
GJ 752B,2.3,True
GJ 768.1C,2.3,True
GJ 777B,1.67,False
GJ 783.2B,1.77,False
GJ 797B-NE,2.06,False
GJ 797B-SW,1.97,False
GJ 809,1.96,False
GJ 820B,2.3,True
GJ 849,1.83,False
GJ 873,2.07,False
GJ 876,1.59,False
GJ 880,1.82,False
GJ 884,1.93,False
GJ 1002,2.3,True
GJ 1245B,2.3,True
GJ 3348B,2.08,False
